"시도교육청","시도교육청코드","교육지원청","교육지원청코드","지역","지역코드","소재지구분코드","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","창의적체험활동동아리 동아리수","창의적체험활동동아리 참여학생수","창의적체험활동동아리 지도교사수","창의적체험활동동아리 자원봉사 또는외부강사수","창의적체험활동동아리 동아리활동 예산지원현황","학생자율동아리 동아리수","학생자율동아리 참여학생수","학생자율동아리 지도교사수","학생자율동아리 자원봉사 또는외부강사수","학생자율동아리 동아리활동 예산지원현황","학교과정구분값(2-3-4)","학교과정구분명(초-중-고)","공시연도"
"서울특별시교육청","A000000001","교육부","A000000001","서울특별시 서초구","1165010800","01","S000003511","서울교육대학교부설초등학교","02","국립","N","","27","614","27","0","0","0","0","0","0","0","","","2022"
"서울특별시교육청","A000000001","교육부","A000000001","서울특별시 종로구","1111016800","01","S000003563","서울대학교사범대학부설초등학교","02","국립","N","","26","415","26","0","0","0","0","0","0","0","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010300","01","S010000738","서울개일초등학교","02","공립","N","","33","1084","33","0","0","4","76","4","0","2000000","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010300","01","S010000741","서울구룡초등학교","02","공립","N","","22","753","22","0","2000000","0","0","0","0","0","","","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010800","01","S010000742","서울논현초등학교","02","공립","N","","14","266","17","26","13500000","0","0","0","0","0","","","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010600","01","S010000743","서울대곡초등학교","02","공립","N","","47","1100","47","0","2000000","1","6","1","0","0","","","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011800","01","S010000744","서울대도초등학교","02","공립","N","","47","1523","47","0","0","18","77","18","5","5000000","","","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011400","01","S010000745","서울대모초등학교","02","공립","N","","33","920","33","0","0","1","40","1","1","3000000","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011100","01","S010000746","서울대왕초등학교","02","공립","N","","31","675","31","0","2200000","4","30","4","0","0","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010300","01","S010000747","서울대진초등학교","02","공립","N","","15","275","15","0","0","2","27","0","2","3100000","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011400","01","S010000748","서울대청초등학교","02","공립","N","","7","77","7","0","640000","3","21","3","3","5150000","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010600","01","S010000749","서울대치초등학교","02","공립","N","","38","1204","38","0","6000000","0","0","0","0","0","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010600","01","S010000750","서울대현초등학교","02","공립","N","","30","814","30","0","1500000","0","0","0","0","0","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010600","01","S010000751","서울도곡초등학교","02","공립","N","","36","936","36","0","2000000","0","0","0","0","0","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010100","01","S010000752","서울도성초등학교","02","공립","N","","57","1843","57","0","0","3","48","4","0","1000000","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010600","01","S010000753","서울반원초등학교","02","공립","N","","50","1348","50","0","2500000","0","0","0","0","0","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010700","01","S010000754","서울반포초등학교","02","공립","N","","9","404","30","0","0","0","0","0","0","0","","","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010100","01","S010000755","서울방배초등학교","02","공립","N","","34","890","34","0","1000000","36","890","34","3","1000000","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010100","01","S010000756","서울방일초등학교","02","공립","N","","18","977","37","0","0","2","34","4","0","1700000","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010100","01","S010000757","서울방현초등학교","02","공립","N","","10","239","10","0","0","0","0","0","0","0","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010500","01","S010000758","서울봉은초등학교","02","공립","N","","23","489","23","0","1000000","1","40","1","4","5500000","","","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010500","01","S010000759","서울삼릉초등학교","02","공립","N","","23","530","23","0","2325000","2","50","2","0","1000000","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010100","01","S010000760","서울서래초등학교","02","공립","N","","45","1376","45","0","0","0","0","0","0","0","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010700","01","S010000761","서울서원초등학교","02","공립","N","","33","1003","33","0","0","0","0","0","0","0","","","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010800","01","S010000762","서울서이초등학교","02","공립","N","","47","1430","47","0","0","0","0","0","0","0","","","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010800","01","S010000763","서울서일초등학교","02","공립","N","","24","548","24","0","0","0","0","0","0","0","","","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010800","01","S010000764","서울서초초등학교","02","공립","N","","18","546","18","0","0","0","0","0","0","0","","","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011500","01","S010000765","서울수서초등학교","02","공립","N","","8","102","8","0","0","6","74","6","5","28000000","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010700","01","S010000766","서울신구초등학교","02","공립","N","","22","497","22","0","1000000","0","0","0","0","0","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010600","01","S010000767","서울신동초등학교","02","공립","N","","49","1273","49","0","0","3","1114","3","0","0","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010800","01","S010000768","서울신중초등학교","02","공립","N","","27","931","36","0","500000","4","109","4","1","500000","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011000","01","S010000769","서울압구정초등학교","02","공립","N","","25","629","25","0","0","0","0","0","0","0","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010200","01","S010000770","서울양재초등학교","02","공립","N","","25","584","25","0","800000","1","12","1","0","200000","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010300","01","S010000771","서울양전초등학교","02","공립","N","","25","563","25","0","0","0","0","0","0","0","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010900","01","S010000772","서울언남초등학교","02","공립","N","","23","1145","45","1","0","0","0","0","0","0","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010400","01","S010000773","서울언북초등학교","02","공립","N","","59","1849","59","0","2900000","0","0","0","0","0","","","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011800","01","S010000774","서울언주초등학교","02","공립","N","","51","1580","51","0","1500000","0","0","0","0","0","","","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010100","01","S010000775","서울역삼초등학교","02","공립","N","","16","368","16","0","1200000","0","0","0","0","0","","","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011400","01","S010000776","서울영희초등학교","02","공립","N","","11","218","11","0","1100000","1","20","1","1","1200000","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011500","01","S010000777","서울왕북초등학교","02","공립","N","","29","612","21","8","8700000","0","0","0","0","0","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010300","01","S010000778","서울우암초등학교","02","공립","N","","14","284","14","9","5400000","1","10","1","0","0","","","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010800","01","S010000779","서울원명초등학교","02","공립","N","","43","1222","43","0","0","0","0","0","0","0","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010700","01","S010000780","서울원촌초등학교","02","공립","N","","29","738","29","0","0","0","0","0","0","0","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010100","01","S010000781","서울이수초등학교","02","공립","N","","24","570","24","1","3000000","6","65","2","4","3000000","","","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011400","01","S010000782","서울일원초등학교","02","공립","N","","43","1130","43","0","0","0","0","0","0","0","","","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010700","01","S010000783","서울잠원초등학교","02","공립","N","","60","1665","60","0","0","0","0","0","0","0","","","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011000","01","S010000784","서울청담초등학교","02","공립","N","","14","319","14","0","0","0","0","0","0","0","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010300","01","S010000785","서울포이초등학교","02","공립","N","","16","321","16","0","750000","2","29","2","1","700000","","","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010800","01","S010000786","서울학동초등학교","02","공립","N","","22","493","24","0","0","0","0","0","0","0","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 송파구","1171010700","01","S010000897","서울가동초등학교","02","공립","N","","27","601","27","0","0","1","5","1","0","0","","","2022"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 송파구","1171010700","01","S010000898","서울가락초등학교","02","공립","N","","52","1162","52","0","0","1","6","2","0","400000","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 송파구","1171010800","01","S010000899","서울가원초등학교","02","공립","N","","19","428","19","0","0","1","4","1","0","0","","","2022"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 송파구","1171010700","01","S010000900","서울가주초등학교","02","공립","N","","25","556","25","0","1000000","0","0","0","0","0","","","2022"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 강동구","1174010200","01","S010000901","서울강덕초등학교","02","공립","N","","46","1145","46","0","0","0","0","0","0","0","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 강동구","1174010900","01","S010000902","서울강동초등학교","02","공립","N","","17","374","17","0","400000","0","0","0","0","0","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 강동구","1174011000","01","S010000903","서울강일초등학교","02","공립","N","","33","737","33","4","32950000","1","6","1","0","210000","","","2022"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 송파구","1171011200","01","S010000904","서울거여초등학교","02","공립","N","","30","655","36","0","3600000","1","6","1","0","1700000","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 송파구","1171011300","01","S010000905","서울거원초등학교","02","공립","N","","37","678","37","0","0","1","6","1","0","0","","","2022"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 강동구","1174010200","01","S010000906","서울고덕초등학교","02","공립","N","","21","400","21","0","0","0","0","0","0","0","","","2022"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 강동구","1174010100","01","S010000907","서울고명초등학교","02","공립","N","","15","354","15","0","0","0","0","0","0","0","","","2022"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 강동구","1174010300","01","S010000908","서울고일초등학교","02","공립","N","","64","1712","64","0","0","0","0","0","0","0","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 강동구","1174010500","01","S010000909","서울길동초등학교","02","공립","N","","22","787","37","0","1800000","0","0","0","0","0","","","2022"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 송파구","1171011400","01","S010000910","서울남천초등학교","02","공립","N","","19","365","19","0","0","0","0","0","0","0","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 강동구","1174010100","01","S010000911","서울대명초등학교","02","공립","N","","30","713","30","0","0","0","0","0","0","0","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 송파구","1171011400","01","S010000913","서울마천초등학교","02","공립","N","","43","885","43","0","0","1","27","4","0","0","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 강동구","1174010200","01","S010000914","서울명덕초등학교","02","공립","N","","37","1159","37","0","1400000","1","11","1","0","0","","","2022"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 강동구","1174010100","01","S010000915","서울명원초등학교","02","공립","N","","22","579","22","0","4400000","0","0","0","0","0","","","2022"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 강동구","1174010700","01","S010000916","서울명일초등학교","02","공립","N","","47","1040","47","0","0","2","43","2","2","16300000","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 강동구","1174010200","01","S010000917","서울묘곡초등학교","02","공립","N","","44","1079","44","0","0","5","95","5","0","4000000","2","초","2022"
